county,office,,party,candidate,votes,,,
TOTALS,State Senate,2,,,41784,,,
PUEBLO,State Senate,3,DEM,Abel J. Tapia,26118,,,
TOTALS,State Senate,3,DEM,Abel J. Tapia,26118,,,
PUEBLO,State Senate,3,REP,Joyce R. Lawrence,14792,,,
TOTALS,State Senate,3,REP,Joyce R. Lawrence,14792,,,
PUEBLO,State Senate,3,LIB,Joseph Towner,910,,,
TOTALS,State Senate,3,LIB,Joseph Towner,910,,,
PUEBLO,State Senate,3,,,41820,,,
TOTALS,State Senate,3,,,41820,,,
ALAMOSA,State Senate,5,DEM,Rafael Lorenzo Gallegos,1409,,,
CHAFFEE,State Senate,5,DEM,Rafael Lorenzo Gallegos,2166,,,
CONEJOS,State Senate,5,DEM,Rafael Lorenzo Gallegos,1522,,,
COSTILLA,State Senate,5,DEM,Rafael Lorenzo Gallegos,1014,,,
DELTA,State Senate,5,DEM,Rafael Lorenzo Gallegos,3049,,,
GUNNISON,State Senate,5,DEM,Rafael Lorenzo Gallegos,2062,,,
HINSDALE,State Senate,5,DEM,Rafael Lorenzo Gallegos,133,,,
MINERAL,State Senate,5,DEM,Rafael Lorenzo Gallegos,107,,,
PITKIN,State Senate,5,DEM,Rafael Lorenzo Gallegos,3062,,,
RIO GRANDE,State Senate,5,DEM,Rafael Lorenzo Gallegos,1230,,,
SAGUACHE,State Senate,5,DEM,Rafael Lorenzo Gallegos,799,,,
TOTALS,State Senate,5,DEM,Rafael Lorenzo Gallegos,16553,,,
ALAMOSA,State Senate,5,REP,Lewis H. Entz,3047,,,
CHAFFEE,State Senate,5,REP,Lewis H. Entz,4181,,,
CONEJOS,State Senate,5,REP,Lewis H. Entz,1649,,,
COSTILLA,State Senate,5,REP,Lewis H. Entz,531,,,
DELTA,State Senate,5,REP,Lewis H. Entz,6817,,,
GUNNISON,State Senate,5,REP,Lewis H. Entz,2777,,,
HINSDALE,State Senate,5,REP,Lewis H. Entz,320,,,
MINERAL,State Senate,5,REP,Lewis H. Entz,299,,,
PITKIN,State Senate,5,REP,Lewis H. Entz,1992,,,
RIO GRANDE,State Senate,5,REP,Lewis H. Entz,3174,,,
SAGUACHE,State Senate,5,REP,Lewis H. Entz,1108,,,
TOTALS,State Senate,5,REP,Lewis H. Entz,25895,,,
ALAMOSA,State Senate,5,LIB,Sandra Johnson,147,,,
CHAFFEE,State Senate,5,LIB,Sandra Johnson,311,,,
CONEJOS,State Senate,5,LIB,Sandra Johnson,53,,,
COSTILLA,State Senate,5,LIB,Sandra Johnson,63,,,
DELTA,State Senate,5,LIB,Sandra Johnson,785,,,
GUNNISON,State Senate,5,LIB,Sandra Johnson,294,,,
HINSDALE,State Senate,5,LIB,Sandra Johnson,49,,,
MINERAL,State Senate,5,LIB,Sandra Johnson,17,,,
PITKIN,State Senate,5,LIB,Sandra Johnson,446,,,
RIO GRANDE,State Senate,5,LIB,Sandra Johnson,98,,,
SAGUACHE,State Senate,5,LIB,Sandra Johnson,78,,,
TOTALS,State Senate,5,LIB,Sandra Johnson,2341,,,
ALAMOSA,State Senate,5,,,4603,,,
CHAFFEE,State Senate,5,,,6658,,,
CONEJOS,State Senate,5,,,3224,,,
COSTILLA,State Senate,5,,,1608,,,
DELTA,State Senate,5,,,10651,,,
GUNNISON,State Senate,5,,,5133,,,
HINSDALE,State Senate,5,,,502,,,
MINERAL,State Senate,5,,,423,,,
PITKIN,State Senate,5,,,5500,,,
RIO GRANDE,State Senate,5,,,4502,,,
SAGUACHE,State Senate,5,,,1985,,,
TOTALS,State Senate,5,,,44789,,,
ARCHULETA,State Senate,6,REP,Kay Alexander,2012,,,
DOLORES,State Senate,6,REP,Kay Alexander,480,,,
LA PLATA,State Senate,6,REP,Kay Alexander,5119,,,
MONTEZUMA,State Senate,6,REP,Kay Alexander,3845,,,
MONTROSE,State Senate,6,REP,Kay Alexander,7596,,,
OURAY,State Senate,6,REP,Kay Alexander,1038,,,
SAN JUAN,State Senate,6,REP,Kay Alexander,122,,,
SAN MIGUEL,State Senate,6,REP,Kay Alexander,860,,,
TOTALS,State Senate,6,REP,Kay Alexander,21072,,,
ARCHULETA,State Senate,6,DEM,James Isgar,1925,,,
DOLORES,State Senate,6,DEM,James Isgar,392,,,
LA PLATA,State Senate,6,DEM,James Isgar,10607,,,
MONTEZUMA,State Senate,6,DEM,James Isgar,3935,,,
MONTROSE,State Senate,6,DEM,James Isgar,4695,,,
OURAY,State Senate,6,DEM,James Isgar,856,,,
SAN JUAN,State Senate,6,DEM,James Isgar,282,,,
SAN MIGUEL,State Senate,6,DEM,James Isgar,1610,,,
TOTALS,State Senate,6,DEM,James Isgar,24302,,,
ARCHULETA,State Senate,6,,,3937,,,
DOLORES,State Senate,6,,,872,,,
LA PLATA,State Senate,6,,,15726,,,
MONTEZUMA,State Senate,6,,,7780,,,
MONTROSE,State Senate,6,,,12291,,,
OURAY,State Senate,6,,,1894,,,
SAN JUAN,State Senate,6,,,404,,,
SAN MIGUEL,State Senate,6,,,2470,,,
TOTALS,State Senate,6,,,45374,,,
GARFIELD,State Senate,7,REP,Ronald J. Teck,1120,,,
MESA,State Senate,7,REP,Ronald J. Teck,27828,,,
TOTALS,State Senate,7,REP,Ronald J. Teck,28948,,,
GARFIELD,State Senate,7,,,1120,,,
MESA,State Senate,7,,,27828,,,
TOTALS,State Senate,7,,,28948,,,
EL PASO,State Senate,9,REP,Doug Lamborn,32139,,,
TOTALS,State Senate,9,REP,Doug Lamborn,32139,,,
EL PASO,State Senate,9,DEM,Jessica Wheeler,6657,,,
TOTALS,State Senate,9,DEM,Jessica Wheeler,6657,,,
EL PASO,State Senate,9,,,38796,,,
TOTALS,State Senate,9,,,38796,,,
EL PASO,State Senate,11,REP,Ed Jones,12260,,,
TOTALS,State Senate,11,REP,Ed Jones,12260,,,
EL PASO,State Senate,11,DEM,Tony Marino,11607,,,
TOTALS,State Senate,11,DEM,Tony Marino,11607,,,
EL PASO,State Senate,11,LIB,Jeffery McQueen,2390,,,
TOTALS,State Senate,11,LIB,Jeffery McQueen,2390,,,
EL PASO,State Senate,11,,,26257,,,
TOTALS,State Senate,11,,,26257,,,
WELD,State Senate,13,REP,Dave Owen,28245,,,
TOTALS,State Senate,13,REP,Dave Owen,28245,,,
WELD,State Senate,13,LIB,Russ J. Haddad,5612,,,
TOTALS,State Senate,13,LIB,Russ J. Haddad,5612,,,
WELD,State Senate,13,,,33857,,,
TOTALS,State Senate,13,,,33857,,,
LARIMER,State Senate,15,DEM,Kathy Gilliland,18531,,,
TOTALS,State Senate,15,DEM,Kathy Gilliland,18531,,,
LARIMER,State Senate,15,REP,Steve Johnson,30825,,,
TOTALS,State Senate,15,REP,Steve Johnson,30825,,,
LARIMER,State Senate,15,,,49356,,,
TOTALS,State Senate,15,,,49356,,,
BOULDER,State Senate,16,DEM,Joan Fitz-Gerald,7629,,,
CLEAR CREEK,State Senate,16,DEM,Joan Fitz-Gerald,1944,,,
GILPIN,State Senate,16,DEM,Joan Fitz-Gerald,1252,,,
GRAND,State Senate,16,DEM,Joan Fitz-Gerald,1829,,,
JEFFERSON,State Senate,16,DEM,Joan Fitz-Gerald,9409,,,
SUMMIT,State Senate,16,DEM,Joan Fitz-Gerald,4522,,,
TOTALS,State Senate,16,DEM,Joan Fitz-Gerald,26585,,,
BOULDER,State Senate,16,REP,Web Sill,4349,,,
CLEAR CREEK,State Senate,16,REP,Web Sill,1982,,,
GILPIN,State Senate,16,REP,Web Sill,986,,,
GRAND,State Senate,16,REP,Web Sill,3071,,,
JEFFERSON,State Senate,16,REP,Web Sill,10326,,,
SUMMIT,State Senate,16,REP,Web Sill,3442,,,
TOTALS,State Senate,16,REP,Web Sill,24156,,,
BOULDER,State Senate,16,,,11978,,,
CLEAR CREEK,State Senate,16,,,3926,,,
GILPIN,State Senate,16,,,2238,,,
GRAND,State Senate,16,,,4900,,,
JEFFERSON,State Senate,16,,,19735,,,
SUMMIT,State Senate,16,,,7964,,,
TOTALS,State Senate,16,,,50741,,,
JEFFERSON,State Senate,20,REP,Steve Jensen,19520,,,
TOTALS,State Senate,20,REP,Steve Jensen,19520,,,
JEFFERSON,State Senate,20,DEM,Maryanne Moe Keller,19707,,,
TOTALS,State Senate,20,DEM,Maryanne Moe Keller,19707,,,
JEFFERSON,State Senate,20,,,39227,,,
TOTALS,State Senate,20,,,39227,,,
JEFFERSON,State Senate,22,DEM,Bob Sampron,15275,,,
TOTALS,State Senate,22,DEM,Bob Sampron,15275,,,
JEFFERSON,State Senate,22,REP,Norma Anderson,28600,,,
TOTALS,State Senate,22,REP,Norma Anderson,28600,,,
JEFFERSON,State Senate,22,,,43875,,,
TOTALS,State Senate,22,,,43875,,,
ADAMS,State Senate,24,DEM,Alice J. Nichol,17383,,,
TOTALS,State Senate,24,DEM,Alice J. Nichol,17383,,,
ADAMS,State Senate,24,REP,Joy M. Bowman,12820,,,
TOTALS,State Senate,24,REP,Joy M. Bowman,12820,,,
ADAMS,State Senate,24,,,30203,,,
TOTALS,State Senate,24,,,30203,,,
DOUGLAS,State Senate,30,REP,John Evans,31925,,,
TOTALS,State Senate,30,REP,John Evans,31925,,,
DOUGLAS,State Senate,30,DEM,Jerri L. Hill,13076,,,
TOTALS,State Senate,30,DEM,Jerri L. Hill,13076,,,
DOUGLAS,State Senate,30,,,45001,,,
TOTALS,State Senate,30,,,45001,,,
DENVER,State Senate,32,DEM,Dan Grossman,28180,,,
JEFFERSON,State Senate,32,DEM,Dan Grossman,0,,,
TOTALS,State Senate,32,DEM,Dan Grossman,28180,,,
DENVER,State Senate,32,LIB,Richard Combs,6645,,,
JEFFERSON,State Senate,32,LIB,Richard Combs,1,,,
TOTALS,State Senate,32,LIB,Richard Combs,6646,,,
DENVER,State Senate,32,,,34825,,,
JEFFERSON,State Senate,32,,,1,,,
TOTALS,State Senate,32,,,34826,,,
DENVER,State Senate,34,DEM,Paula E. Sandoval,18576,,,
TOTALS,State Senate,34,DEM,Paula E. Sandoval,18576,,,
DENVER,State Senate,34,LIB,Patrick Adamson,3249,,,
TOTALS,State Senate,34,LIB,Patrick Adamson,3249,,,
DENVER,State Senate,34,,,21825,,,
TOTALS,State Senate,34,,,21825,,,
ARAPAHOE,State House,1,DEM,Fran N. Coleman,697,,,
DENVER,State House,1,DEM,Fran N. Coleman,10948,,,
JEFFERSON,State House,1,DEM,Fran N. Coleman,1,,,
TOTALS,State House,1,DEM,Fran N. Coleman,11646,,,
ARAPAHOE,State House,1,,,697,,,
DENVER,State House,1,,,10948,,,
JEFFERSON,State House,1,,,1,,,
TOTALS,State House,1,,,11646,,,
